iso,year,rank_eci,growth_proj_annual_2024,rank_growth,name
CAN,2005,25,3.23,71,Canada
PHL,2005,55,4.83,16,Philippines
TUR,2005,43,4.56,24,Turkey
UKR,2005,35,3.78,41,Ukraine
IND,2005,48,6.99,1,India
GRC,2005,46,2.76,94,Greece
TUN,2005,61,3.55,52,Tunisia
JOR,2005,53,4.63,21,Jordan
NZL,2005,42,2.62,97,New Zealand
RUS,2005,34,2.85,90,Russia
URY,2005,47,3.02,81,Uruguay
SLV,2005,73,2.82,92,El Salvador
CRI,2005,58,3.28,67,Costa Rica
BRA,2005,38,4.6,22,Brazil
ZAF,2005,44,3.8,39,South Africa
IDN,2005,59,5.2,9,Indonesia
LBN,2005,45,4.05,33,Lebanon
VNM,2005,88,4.16,32,Vietnam
MDA,2005,56,2.99,84,Moldova
MUS,2005,68,2.12,111,Mauritius
EGY,2005,67,5.18,11,Egypt
GEO,2005,52,2.46,102,Georgia
COL,2005,57,3.88,38,Colombia
ARG,2005,50,3.71,44,Argentina
DOM,2005,69,3.23,70,Dominican Republic
ARE,2005,74,1.73,115,United Arab Emirates
MKD,2005,65,2.4,104,Macedonia
JAM,2005,77,1.58,117,Jamaica
CHL,2005,64,2.17,110,Chile
GTM,2005,79,5.08,14,Guatemala
LKA,2005,82,3.49,53,Sri Lanka
OMN,2005,66,2.22,108,Oman
KWT,2005,49,2.36,106,Kuwait
SAU,2005,51,3.03,79,Saudi Arabia
HND,2005,97,3.73,42,Honduras
SEN,2005,71,5.98,5,Senegal
PRY,2005,87,3.68,45,Paraguay
MAR,2005,81,3.21,72,Morocco
CUB,2005,76,1.38,121,Cuba
KAZ,2005,70,2.76,95,Kazakhstan
AUS,2005,63,2.02,113,Australia
KHM,2005,113,3.03,77,Cambodia
ALB,2005,72,2.53,101,Albania
ZMB,2005,106,5.09,13,Zambia
KGZ,2005,80,4.7,18,Kyrgyzstan
UZB,2005,85,3.94,36,Uzbekistan
KEN,2005,84,6.51,2,Kenya
CMR,2005,114,3.44,58,Cameroon
TTO,2005,60,1.09,122,Trinidad and Tobago
PAK,2005,92,4.78,17,Pakistan
QAT,2005,62,1.79,114,Qatar
PER,2005,78,3.24,69,Peru
NAM,2005,75,3.36,64,Namibia
BWA,2005,93,1.56,118,Botswana
ZWE,2005,83,5.54,8,Zimbabwe
NIC,2005,101,3.03,78,Nicaragua
UGA,2005,104,6.01,3,Uganda
CIV,2005,98,4.23,31,Ivory Coast
IRN,2005,86,2.36,105,Iran
BGD,2005,110,3.32,65,Bangladesh
MDG,2005,103,5.93,6,Madagascar
TZA,2005,109,5.98,4,Tanzania
TKM,2005,108,2.19,109,Turkmenistan
ECU,2005,102,2.1,112,Ecuador
VEN,2005,54,3.03,80,Venezuela
TJK,2005,95,4.26,30,Tajikistan
MOZ,2005,118,4.38,27,Mozambique
BOL,2005,94,3.67,47,Bolivia
LAO,2005,105,3.59,49,Laos
GAB,2005,112,1.72,116,Gabon
AZE,2005,99,2.54,100,Azerbaijan
ETH,2005,111,5.0,15,Ethiopia
DZA,2005,90,2.36,107,Algeria
GHA,2005,100,4.59,23,Ghana
MNG,2005,96,3.39,61,Mongolia
MWI,2005,116,5.73,7,Malawi
